Rank,pic,thumbs,restaurants,details,city,Type
1,cemita.jpg,cemita.jpg,Taqueria Coatzingo,Chorizo and Egg Cemita.  Take E/7 to Jackson Heights and get it while you wait to transfer to the bus to LGA.,"Queens, NYC",
2,bellyshack.jpg,bellyshack.jpg,Belly Shack,I once spent $27 here by myself for lunch...everything here is about $10. ,Chicago,
3,ramenparlour.jpg,ramenparlour.jpg,Ramen Parlour,Lobster and Pork Broth Ramen with soft shell crab!!,"San Mateo, CA",
4,banhmi.jpg,banhmi.jpg,Banh Mi Saigon,Used to be only $5!  Now $5.50 T_T.,"Chinatown, NYC",
5,shroomtown.jpg,shroomtown11.jpg,Shroomtown,Found at Vezzo/Tappo/Pizza Gruppo,New York City,
6,tealeafsalad.jpg,tealeafsalad.jpg,Mandalay,Tea Leaf Salad,San Francisco,
7,hotmess.jpg,hotmess.jpg,Pecan Lodge,The Hot Mess,Dallas,
8,malaxiangguo.jpg,malaxiangguo.jpg,YiMaYiLa,,"Beijing, China",
9,neopol.jpg,neopol.jpg,Neopol,Smoked Salmon BLT,Washington DC,
10,sfdimsum.jpg,sfdimsum.jpg,Good Mong Kok Bakery,,San Francisco,
11,shavedice2.jpg,shavedice2.jpg,Sul & Beans,,Los Angeles,
11.5,besttacos.jpg,besttacos.jpg,Los Tacos No. 1,Best.  Tacos.  Ever.,New York City,
12,ramendojo.jpg,ramendojo.jpg,Ramen Dojo,,"San Mateo, CA",
13,frontera_dessert.jpg,frontera_dessert.jpg,Frontera Grill,,Chicago,
15,waflesdinges.jpg,waflesdinges.jpg,Wafels & Dinges,Wafel with Speculoos Ice Cream!,New York City,
16,lerrosthai.jpg,lerrosthai.jpg,Ler Ros Thai,Pad See Ew,San Francisco,
17,steakandeggs.jpg,steakandeggs.jpg,Cafe Orlin,Steak and Eggs with Spinach Sauce,New York City,
17,twolittleredhens.jpg,twolittleredhens.jpg,Two Little Red Hens,Red Velvet Cake.  I could have ate this whole thing.  I don't even like cake. ,New York City,
18,bellyshack_dessert.jpg,bellyshack_dessert.jpg,Belly Shack,Vietnamese Caramel Soft Serve,Chicago,
18,loumalnaticlose.jpg,loumalnaticlose.jpg,Lou Malnati's,The Lou,Chicago,
19,foragerstable.jpg,foragerstable.jpg,Forager's Table,Smoked Salmon Tartine.,New York City,
20,bfd.jpg,bfd.jpg,The Gallows,The BFD with Poutine.  Boston,Boston,
20,chickenandrice.jpg,chickenandrice.jpg,Halal Guys,Chicken and Rice,New York City,
21,shavedice_wangfujin.jpg,shavedice_wangfujin.jpg,Wangfujing Mall,Red Bean Shaved Ice,"Beijing, China",
22,mofongo.jpg,mofongo.jpg,Puerto Rico,Mofongo,,
23,bpatisserie.jpg,bpatisserie.jpg,b. patisserie,,San Francisco,
24,biscuit.jpg,biscuit.jpg,Neal's Deli,Pastrami and Pimento Cheese Biscuit,"Carrboro, NC",
25,giltbar.jpg,giltbar.jpg,Gilt Bar,Truffle Pasta,Chicago,
26,lifealive.jpg,lifealive.jpg,Life Alive,Adventurer Bowl,"Cambridge, MA",
27,gtfishoyster_gnocchi.jpg,gtfishoyster_gnocchi.jpg,GT Fish & Oyster,,Chicago,
28,domenica.jpg,domenica.jpg,Domenica,,New Orleans,
29,lobsta.jpg,lobsta.jpg,Pauli's,,Boston,
30,shakeshack.jpg,shakeshack.jpg,Shake Shack,4th of July Special–Blueberry Pie Concrete!,New York City,
31,phosandwich.jpg,phosandwich.jpg,Sunny and Annie's,PHO Real,New York City,
31.5,bbq.jpg,bbq.jpg,La Barbecue,,"Austin, TX",
32,spiffytiffy.jpg,spiffytiffy.jpg,Ike's Place,Spiffy Tiffy,"SF, LA",
40,sloopdanb.jpg,sloopdanb.jpg,Toasties,Sloop Dan B,New York City,
50,chickenandrice_overhead.jpg,chickenandrice_overhead.jpg,Halal Guys,Chicken and Rice,New York City,
50,loumalnati_overhead.jpg,loumalnati_overhead.jpg,Lou Malnati's,,Chicago,
?,stantonsocial.jpg,stantonsocial.jpg,Stanton Social,Kobe Philly Cheesesteak,,
??,GTFishOyster.jpg,GTFishOyster.jpg,GT Fish & Oyster,,Chicago,
,china_fish.jpg,china_fish.jpg,,,,